objective,deploy,return,station_keep,next_loiter_point,obstacle_name,obstacle_proximity,contact_range,contact_resolved,collision_avoidance_mode,speed,heading,loiter_point_direction,new_loiter_area,obstacle_direction,name,ivphelm_bhv_active,representation,user_query,explanation,behaviour_permutation
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",False,False,False,none,none,none,none,FALSE,none,idle,north,none,False,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'False', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'none', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",User query: Why not deploy instead of None?,"Explanation: The current state representation indicates that the vehicle is not deployed. Therefore, it remains idle without any active behavior. If the vehicle were to be deployed, it could start executing its objective of loitering in different areas while avoiding obstacles and collisions with other vessels.","Behavior permutation: Original: 'None', Modified: 'Deploy'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",False,False,False,none,none,none,far,FALSE,none,idle,north,none,False,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'False', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",User query: Why not Loiter instead of None?,"Explanation: If the vehicle is not deployed and there is no active behavior specified, Gilda remains idle. In this case, there is no need for Gilda to loiter around. ","behaviour_permutation: Original: 'None', Modified: 'Loiter'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,none,none,none,far,FALSE,none,idle,north,none,False,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",User query: Why not Loiter instead of None?,"Explanation: In the current state, Gilda is not actively engaged in any behavior and is idle. However, if it activates the ""Loiter"" behavior, it can start moving around in different areas while avoiding obstacles and collision with other vessels, which aligns with its objective.","Behaviour permutation: Original: 'None', Modified: 'Loiter'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,none,none,none,far,FALSE,none,idle,north,none,True,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'True', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",User query: Why not Loiter instead of None?,"Explanation: The current representation states that the vehicle is idle and not exhibiting any active behavior. However, it could potentially loiter around in different areas while avoiding obstacles and collision with other vessels. This would provide the vehicle with a specific objective and purpose instead of being idle.","Behavior permutation: Original: 'None', Modified: 'Loiter'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point5,none,none,far,FALSE,none,idle,north,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Loiter,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: In the given representation, Gilda is currently in a loitering state, with a north heading and idle speed, and there are no detected obstacles or vessels in close proximity. Therefore, it is not necessary for Gilda to switch to the behavior of avoiding obstacles specifically represented by ""avd_obstacles_avd_obstacles_ob_0"".","Behaviour permutation: Original: Loiter, Modified: Loiter,avd_obstacles_avd_obstacles_ob_0"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point5,none,none,far,FALSE,none,fast,northeast,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 5 with a northeast heading, and has not been asked to return to its starting point. Additionally, there is no detected obstacle in the vessel's environment and no vessel in close proximity.","behaviour_permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point5,none,none,very far,FALSE,none,fast,northeast,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 5 with a northeast heading, and has not been asked to return to its starting point yet. Additionally, there is no detected obstacle in the vessel's environment.","Behaviour permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point6,none,none,very far,FALSE,none,fast,northeast,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point6', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is still loitering fast towards point 6 with a northeast heading, and has not been asked to return to its starting point yet. Additionally, there is no detected obstacle in the vessel's environment.","behaviour_permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point7,none,none,very far,FALSE,none,fast,northeast,northwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is currently loitering fast towards point 7 with a northwest heading, and has not been instructed to return to its starting point yet. Additionally, there is no detected obstacle in the vessel's environment.","Behaviour permutation: Original: Loiter, Modified: Waypt_return,avd_obstacles_avd_obstacles_ob_0"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point7,none,none,very far,FALSE,none,fast,northwest,northwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}","User query: Why not Waypt_return,avd_obstacles_avd_obstacles_ob_0 instead of Loiter?","Explanation: Gilda is currently loitering fast towards point 7 with a northeast heading, and has not been asked to return to its starting point yet. In addition, there is no detected obstacle in the vessel's environment.","Behaviour permutation: Original: Loiter, Modified: 'Waypt_return,avd_obstacles_avd_obstacles_ob_0'"
