objective,deploy,return,station_keep,next_loiter_point,obstacle_name,obstacle_proximity,contact_range,contact_resolved,collision_avoidance_mode,speed,heading,loiter_point_direction,new_loiter_area,obstacle_direction,name,ivphelm_bhv_active,representation,user_query,explanation,state_permutation
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",False,False,False,none,none,none,none,FALSE,none,idle,north,none,False,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'False', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'none', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",What if Gilda encounters a nearby obstacle while loitering?,"If Gilda encounters a nearby obstacle while loitering, it will continue to loiter but also actively avoid the obstacle to ensure collision-free movement.","'deploy': 'True', 'next_loiter_point': 'not_none', 'obstacle_proximity': 'nearby'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",False,False,False,none,none,none,far,FALSE,none,idle,north,none,False,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'False', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",What if Gilda encounters a nearby obstacle while deployed toward point 0?,"If Gilda encounters a nearby obstacle while being deployed towards point 0, it would enter a loitering state while avoiding the obstacle. The vessel will continue to loiter until the obstacle is no longer nearby or a resolution is found to avoid the obstacle. The objective of Gilda remains the same - to loiter around, avoid obstacles, and return to the starting point when commanded.","'deploy': 'True', 'next_loiter_point': 'point0', 'obstacle_proximity': 'nearby'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,none,none,none,far,FALSE,none,idle,north,none,False,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",What if Gilda is asked to return to its starting point?,"If Gilda is asked to return to its starting point, it will initiate the return process. It will continue to loiter around in different areas while avoiding obstacles and collision with other vessels. However, the return command takes priority, so Gilda will start moving towards its starting point and adjust its behavior accordingly to avoid any obstacles in its path.",'return': 'True'
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,none,none,none,far,FALSE,none,idle,north,none,True,none,gilda,none,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'none', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'none', 'new_loiter_area': 'True', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'none'}",What if Gilda encounters an obstacle while loitering in a new loiter area?,"If Gilda encounters an obstacle while loitering in a new loiter area, it will adjust its behavior to loiter while avoiding the obstacle. It will continue to stay in the new loiter area until the obstacle is resolved or it receives further instructions.","'obstacle_proximity': 'nearby', 'obstacle_name': 'obstacle1'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point5,none,none,far,FALSE,none,idle,north,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'idle', 'heading': 'north', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}",What if the vehicle was instructed to return to its starting point?,"If the vehicle is instructed to return to its starting point, it will stop loitering and start moving towards its starting point.",'return': 'True'
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point5,none,none,far,FALSE,none,fast,northeast,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}",What if the next loiter point was 'none'?,"If the next loiter point is set to 'none', Gilda would not have a specific location to loiter around. This means that the vehicle would not engage in loitering behavior and would instead perform its default behavior, which is determined by the active behavior and other factors.",'next_loiter_point': 'none'
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point5,none,none,very far,FALSE,none,fast,northeast,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point5', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}",What if the next loiter point was changed to 'none'?,"If the next loiter point is changed to 'none', Gilda would continue to loiter in its current position until further notice or until a new loiter point is specified.",'next_loiter_point': 'none'
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point6,none,none,very far,FALSE,none,fast,northeast,northeast,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point6', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northeast', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}",What if the vehicle needed to return to its starting point while avoiding an obstacle?,Gilda would change its behavior and start returning to its starting point while actively avoiding the obstacle in its path. The vehicle would modify its trajectory and speed to ensure it doesn't collide with the obstacle.,"'return': 'True', 'obstacle_proximity': 'nearby'"
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point7,none,none,very far,FALSE,none,fast,northeast,northwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northeast', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}",What if the heading was changed to southeast?,Changing the heading to southeast would cause Gilda to adjust its direction of movement during loitering. It would now move in the southeast direction while still avoiding obstacles and collision with other vessels.,'heading': 'southeast'
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",True,False,False,point7,none,none,very far,FALSE,none,fast,northwest,northwest,False,none,gilda,loiter,"{'objective': 'Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.', 'deploy': 'True', 'return': 'False', 'station_keep': 'False', 'next_loiter_point': 'point7', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'contact_range': 'very far', 'contact_resolved': 'FALSE', 'collision_avoidance_mode': 'none', 'speed': 'fast', 'heading': 'northwest', 'loiter_point_direction': 'northwest', 'new_loiter_area': 'False', 'obstacle_direction': 'none', 'name': 'gilda', 'active_behaviour': 'loiter'}",What if the next loiter point was 'point3'?,"If the next loiter point was 'point3', Gilda would adjust its trajectory and head towards 'point3' for loitering instead of 'point7'. The new loiter area would be selected based on 'point3'. ",'next_loiter_point': 'point3'
