objective,deploy,return,station_keep,next_loiter_point,obstacle_name,obstacle_proximity,contact_range,contact_resolved,collision_avoidance_mode,speed,heading,loiter_point_direction,new_loiter_area,obstacle_direction,contact_name,name,ivphelm_bhv_active,what_if,predicted_behaviour,why_not,feature_justification,Representation,Instruction,User Query,Explanation
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",FALSE,FALSE,FALSE,none,none,none,none,FALSE,none,idle,north,none,FALSE,none,none,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",FALSE,FALSE,FALSE,none,none,none,far,FALSE,none,idle,north,none,FALSE,none,henry,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,none,none,none,far,FALSE,none,idle,north,none,FALSE,none,henry,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,none,none,none,far,FALSE,none,idle,north,none,TRUE,none,henry,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point5,none,none,far,FALSE,none,idle,north,northeast,FALSE,none,henry,gilda,none,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point5,none,none,far,FALSE,none,idle,north,northeast,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point5,none,none,far,FALSE,none,fast,northeast,northeast,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point5,none,none,very far,FALSE,none,fast,northeast,northeast,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point6,none,none,very far,FALSE,none,fast,northeast,northeast,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,very far,FALSE,none,fast,northeast,northwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,very far,FALSE,none,fast,northwest,northwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point7,none,none,very far,FALSE,none,fast,northwest,northwest,TRUE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,none,none,very far,FALSE,none,fast,northwest,southwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,none,none,far,FALSE,none,fast,northwest,southwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,none,none,far,FALSE,none,fast,southwest,southwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
"Loiter around in different areas which are selected randomly, while avoiding obstacles and collision with other vessels. Finally, once the command is provided by the operator, return to starting point.",TRUE,FALSE,FALSE,point0,none,none,nearby,FALSE,none,fast,southwest,southwest,FALSE,none,henry,gilda,loiter,none,none,none,none,,,,
