objective,deploy,return,obstacle_name,obstacle_proximity,obstacle_resolved,behaviour_stage,next_point,speed,heading,next_point_direction,obstacle_direction,name,ivphelm_bhv_active,representation,user_query,explanation,state_permutation
"Go to points 0, 1, 2 and then return to starting position.",False,False,none,none,False,none,none,none,none,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'False', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'none', 'heading': 'none', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}","What if deploy is true and return is false, but the obstacle proximity is very close?","If deploy is true and return is false, but the obstacle proximity is very close, then the vehicle would stop surveying the area and start avoiding the obstacle while remaining in the same location.","deploy = True, return = False, obstacle_proximity = 'very close'"
"Go to points 0, 1, 2 and then return to starting position.",False,False,none,none,False,none,none,none,none,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'False', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'none', 'heading': 'none', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}",What if deploy is false and return is true?,"If deploy is false and return is true, then the vehicle would be idle and start returning to its starting position.","deploy = False, return = True"
"Go to points 0, 1, 2 and then return to starting position.",False,False,none,none,False,none,none,none,none,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'False', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'none', 'heading': 'none', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}",What if the obstacle name is obstacle_b and it has been resolved?,"If the obstacle name is obstacle_b and it has been resolved, then the vehicle would continue with its current behaviour, whether it is surveying the area or returning to its starting position, without considering the obstacle.","obstacle_name = 'obstacle_b', obstacle_resolved = True"
"Go to points 0, 1, 2 and then return to starting position.",False,False,none,none,False,none,none,idle,south,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'False', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}","What if the vehicle is in the ""deploy"" stage but there is no next point defined?","If there is no next point defined while the vehicle is in the ""deploy"" stage, then the vehicle would not be able to conduct its surveying behavior and would remain idle.",next_point = 'none'
"Go to points 0, 1, 2 and then return to starting position.",False,False,none,none,False,none,none,idle,south,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'False', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}","What if the vehicle is in the ""return"" stage and there is an obstacle nearby that has not been resolved?","If there is an obstacle nearby that has not been resolved while the vehicle is in the ""return"" stage, then the vehicle would continue returning to its starting point while avoiding the obstacle.","obstacle_name = obstacle_a, obstacle_proximity = nearby, obstacle_resolved = 'False'"
"Go to points 0, 1, 2 and then return to starting position.",False,False,none,none,False,none,none,idle,south,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'False', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}","What if the vehicle is in the ""surveying an area"" behavior but there is no objective defined?","If there is no objective defined while the vehicle is in the ""surveying an area"" behavior, then it would not have a specific goal for its survey and its behavior may be undefined or random.",objective = 'none'
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,none,none,idle,south,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}",What if there’s obstacle_b in very close proximity which hasn’t been avoided?,"
If there was obstacle_b in very close proximity, then the vehicle would continue moving towards point 2 during its survey while avoiding the obstacle.","obstacle_name = 'obstacle_b', 'obstacle_proximity': 'very close', obstacle_resolved = ‘False’"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,none,none,idle,south,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}",What if deploy is false and return is true?,"If deploy is false and return is true, then the vehicle would be returning to its starting point without having surveyed any area.","deploy = 'False', return = 'True'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,none,none,idle,south,none,none,alpha,none,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'none', 'next_point': 'none', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'none', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'none'}","What if deploy is true, return is true, obstacle resolved is true, and obstacle proximity is none?","If deploy is true, return is true, the obstacle has been resolved, and there is no obstacle proximity, then the vehicle would be returning to its starting point without any obstacle to avoid.","deploy = 'True', return = 'True', obstacle_resolved = 'True', obstacle_proximity = 'none'"
"Go to points 0, 1, 2 and then return to starting position.",True,False,none,none,False,in-transit,point0,idle,south,southeast,none,alpha,waypt_survey,"{'objective': 'Go to points 0, 1, 2 and then return to starting position.', 'deploy': 'True', 'return': 'False', 'obstacle_name': 'none', 'obstacle_proximity': 'none', 'obstacle_resolved': 'False', 'behaviour_stage': 'in-transit', 'next_point': 'point0', 'speed': 'idle', 'heading': 'south', 'next_point_direction': 'southeast', 'obstacle_direction': 'none', 'name': 'alpha', 'active_behaviour': 'waypt_survey'}",What if there’s obstacle_a in nearby proximity which hasn’t been avoided?,"If there was obstacle_a in nearby proximity, then the vehicle would continue moving towards point 0 during its survey while avoiding the obstacle.","obstacle_name = 'obstacle_a', obstacle_proximity = 'nearby', obstacle_resolved = 'False'"
