objective,deploy,return,obstacle_name,obstacle_proximity,obstacle_resolved,behaviour_stage,next_point,speed,heading,next_point_direction,obstacle_direction,name,ivphelm_bhv_active
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,none,none,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,none,none,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
"Go to points 0, 1, 2 and then return to starting position.",false,false,none,none,false,none,none,idle,south,none,none,alpha,none
