deploy,return,obstacle_name,obstacle_proximity,obstacle_resolved,behaviour_stage,next_point,speed,heading,next_point_direction,obstacle_direction,name,ivphelm_bhv_active
False,False,none,none,False,none,none,none,none,none,none,alpha,none
False,False,none,none,False,none,none,none,none,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
False,False,none,none,False,none,none,idle,south,none,none,alpha,none
True,False,none,none,False,none,none,idle,south,none,none,alpha,none
True,False,none,none,False,none,none,idle,south,none,none,alpha,none
True,False,none,none,False,in-transit,point0,idle,south,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,idle,south,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,low,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,low,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
True,False,none,none,False,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
