objectives,deploy,return,next_waypoint,behaviour_stage,next_loiter_point,gps_update_received,depth,vehicle_at_surface,periodic_ascend,waypoint_direction,loiter_point_direction,speed,heading,name,ivphelm_bhv_active,representation,user_query,explanation,behaviour_permutation
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",False,False,none,none,none,False,on surface,True,False,none,none,idle,south,henry,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'False', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'none', 'gps_update_received': 'False', 'depth': 'on surface', 'vehicle_at_surface': 'True', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'none', 'speed': 'idle', 'heading': 'south', 'name': 'henry', 'active_behaviour': 'none'}","User query: Why not Maxdepth,bhv_const_depth,waypt_survey instead of None?","Explanation: Instead of not performing any specific behavior, Henry can be deployed to the predefined depth and conduct a survey of the area designated by the user.","Behaviour permutation: Original: 'None', Modified: Maxdepth,bhv_const_depth,waypt_survey"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point1,False,very deep,False,False,none,southeast,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point1', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southeast', 'speed': 'fast', 'heading': 'southeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: Henry needs to stop its deployment to stay idle without any activated behavior. Instead, the vessel is loitering towards point 1 while waiting to perform a survey.","Behavior Permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point2,False,very deep,False,False,none,southeast,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point2', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southeast', 'speed': 'fast', 'heading': 'southeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In the given representation, Henry is currently in the active behaviour of loitering between points 0 to 7. However, the objective states that Henry needs to stay idle until a survey objective is provided and then perform the survey. Therefore, using the None behaviour would be more appropriate as it would keep the vehicle idle instead of loitering.","Behaviour permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point2,False,very deep,False,False,none,southeast,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point2', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southeast', 'speed': 'fast', 'heading': 'southwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In this representation, Henry is currently loitering towards point 2 while waiting to perform a survey. However, if Henry exhibits the None behavior instead, it will stop its deployment and stay idle without any activated behavior. This can be a preferable alternative if there is no need for Henry to move or perform any specific tasks at the moment.","Behaviour permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point3,False,very deep,False,False,none,southwest,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point3', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southwest', 'speed': 'fast', 'heading': 'southwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not Maxdepth,bhv_const_depth instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In the original behaviour, Henry is currently loitering towards point 3 while waiting to perform a survey. By changing the behaviour to Maxdepth,bhv_const_depth, Henry will not be loitering and will instead stay at a constant depth.","Behaviour permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'Maxdepth,bhv_const_depth'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point4,False,very deep,False,False,none,southwest,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point4', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southwest', 'speed': 'fast', 'heading': 'southwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In this scenario, Henry is currently loitering towards point 4 while waiting to perform a survey. However, if Henry exhibits the behavior ""None"", it will stop its deployment and stay idle without any activated behavior.","Behaviour permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point4,False,very deep,False,False,none,southwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point4', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In the given representation, the vehicle is loitering towards point 4 while waiting to perform a survey. However, the user is questioning why the vehicle cannot be in a state of None, where it is not performing any active behavior.","Behaviour permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point5,False,very deep,False,False,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point5', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In this scenario, Henry needs to stop its deployment and stay idle without any activated behavior. Currently, the vehicle is loitering towards point 5 while waiting to perform a survey.","Behavior permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,False,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In this scenario, Henry needs to stay idle without any specific behavior. However, the vessel is currently loitering towards point 6 while waiting to perform a future survey. By selecting the 'None' behavior, Henry would stop its deployment and remain idle.","behaviour_permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,True,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth","{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'behaviour_stage': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth'}","User query: Why not None instead of Maxdepth,loiter,bhv_const_depth?","Explanation: In the given representation, the vehicle is currently loitering towards point 6 while awaiting a survey objective. However, instead of performing any active behavior, the user is questioning why the vehicle cannot be set to None, indicating no specific behavior or action.","Behavior permutation: Original: 'Maxdepth,loiter,bhv_const_depth', Modified: 'None'"
