deploy,return,next_waypoint,next_loiter_point,feedback_msg,gps_update_received,depth,vehicle_at_surface,periodic_ascend,waypoint_direction,loiter_point_direction,speed,heading,name,ivphelm_bhv_active
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
false,false,none,none,none,false,on surface,true,false,none,none,idle,south,henry,none
