objectives,deploy,return,next_waypoint,behaviour_stage,next_loiter_point,gps_update_received,depth,vehicle_at_surface,periodic_ascend,waypoint_direction,loiter_point_direction,speed,heading,name,ivphelm_bhv_active,what_if,predicted_behaviour,why_not,feature_justification
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",FALSE,FALSE,none,none,none,FALSE,on surface,TRUE,FALSE,none,none,idle,south,henry,none,none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,on surface,TRUE,FALSE,none,none,idle,south,henry,none,none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point1,FALSE,on surface,TRUE,FALSE,none,southeast,idle,south,henry,none,none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,on surface,TRUE,FALSE,none,none,idle,south,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,on surface,FALSE,FALSE,none,none,idle,south,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,shallow,FALSE,FALSE,none,none,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,moderate,FALSE,FALSE,none,none,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,deep,FALSE,FALSE,none,none,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,very deep,FALSE,FALSE,none,none,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point1,FALSE,very deep,FALSE,FALSE,none,southeast,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point2,FALSE,very deep,FALSE,FALSE,none,southeast,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point2,FALSE,very deep,FALSE,FALSE,none,southeast,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point3,FALSE,very deep,FALSE,FALSE,none,southwest,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point4,FALSE,very deep,FALSE,FALSE,none,southwest,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point4,FALSE,very deep,FALSE,FALSE,none,southwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point5,FALSE,very deep,FALSE,FALSE,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point6,FALSE,very deep,FALSE,FALSE,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point6,FALSE,very deep,FALSE,TRUE,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point6,FALSE,very deep,FALSE,TRUE,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point6,FALSE,very deep,FALSE,TRUE,none,northwest,moderate,northwest,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point6,FALSE,very deep,FALSE,TRUE,none,northwest,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point7,FALSE,very deep,FALSE,TRUE,none,northeast,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,point7,FALSE,deep,FALSE,TRUE,none,northeast,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,none,none,FALSE,deep,FALSE,TRUE,none,none,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,none,in-transit,none,FALSE,deep,FALSE,TRUE,none,none,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,in-transit,none,FALSE,deep,FALSE,TRUE,southeast,none,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,in-transit,none,FALSE,deep,FALSE,TRUE,southeast,none,moderate,northeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,in-transit,none,FALSE,deep,FALSE,TRUE,southeast,none,fast,northeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,in-transit,none,FALSE,deep,FALSE,TRUE,southeast,none,very fast,northeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,in-transit,none,FALSE,very deep,FALSE,TRUE,southeast,none,very fast,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,in-transit,none,FALSE,very deep,FALSE,TRUE,southeast,none,max speed,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point0,advanced,none,FALSE,very deep,FALSE,TRUE,southeast,none,max speed,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point1,advanced,none,FALSE,very deep,FALSE,TRUE,southwest,none,max speed,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,advanced,none,FALSE,very deep,FALSE,TRUE,northwest,none,max speed,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,in-transit,none,FALSE,very deep,FALSE,TRUE,northwest,none,max speed,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,in-transit,none,FALSE,very deep,FALSE,TRUE,northwest,none,very fast,southeast,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,in-transit,none,FALSE,very deep,FALSE,TRUE,northwest,none,very fast,southwest,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,in-transit,none,FALSE,very deep,FALSE,TRUE,northwest,none,fast,southwest,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,in-transit,none,FALSE,very deep,FALSE,TRUE,northwest,none,very fast,northwest,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point2,advanced,none,FALSE,very deep,FALSE,TRUE,northwest,none,very fast,northwest,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point3,advanced,none,FALSE,very deep,FALSE,TRUE,northeast,none,very fast,northwest,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",TRUE,FALSE,point3,in-transit,none,FALSE,very deep,FALSE,TRUE,northeast,none,very fast,northwest,henry,"maxdepth,bhv_const_depth,waypt_survey",none,none,none,none
