objectives,deploy,return,next_waypoint,feedback_msg,next_loiter_point,gps_update_received,depth,vehicle_at_surface,periodic_ascend,waypoint_direction,loiter_point_direction,speed,heading,name,ivphelm_bhv_active,what_if,predicted_behaviour,why_not,feature_justification,representation,user_query,explanation
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",False,False,none,none,none,False,on surface,True,False,none,none,idle,south,henry,none,none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'False', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'none', 'gps_update_received': 'False', 'depth': 'on surface', 'vehicle_at_surface': 'True', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'none', 'speed': 'idle', 'heading': 'south', 'name': 'henry', 'active_behaviour': 'none', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry currently has no active behaviour as it has not been deployed. Consequently, the vessel remains at the water surface, in an idle state, with a southward heading."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point1,False,very deep,False,False,none,southeast,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point1', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southeast', 'speed': 'fast', 'heading': 'southeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry is currently loitering towards point 1, which is located southeast of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with southeast heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point2,False,very deep,False,False,none,southeast,fast,southeast,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point2', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southeast', 'speed': 'fast', 'heading': 'southeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently loitering towards point 2, which is located southeast of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with southeast heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point2,False,very deep,False,False,none,southeast,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point2', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southeast', 'speed': 'fast', 'heading': 'southwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry is currently loitering towards point 2, which is located southeast of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with southwest heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point3,False,very deep,False,False,none,southwest,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point3', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southwest', 'speed': 'fast', 'heading': 'southwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry is currently loitering towards point 3, which is located southwest of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with southwest heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point4,False,very deep,False,False,none,southwest,fast,southwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point4', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southwest', 'speed': 'fast', 'heading': 'southwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently loitering towards point 4, which is located southwest of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with southwest heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point4,False,very deep,False,False,none,southwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point4', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'southwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently loitering towards point 4, which is located southwest of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with a northwest heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point5,False,very deep,False,False,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point5', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry is currently loitering towards point 5, which is located northwest of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with northwest heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,False,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'False', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently loitering towards point 6, which is located northwest of the vehicle while maintaining a constant depth within the configured depth tolerance. As a result, the vessel is moving fast with northwest heading and very deep under sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,True,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently loitering towards point 6, which is located northwest of the vehicle while periodically ascending to the surface within the configured depth tolerance. As a result, the vessel is moving fast with a northwest heading and is very deep below sea level."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,True,none,northwest,fast,northwest,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'fast', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_periodic_surface,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry is currently en route to point 6 in the northwest while in a loitering state. However, it is at a very deep depth and has not received a GPS update, indicating that it is unable to transmit its current location. Additionally, it is moving at a fast speed and has enabled periodic ascending behavior."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,True,none,northwest,moderate,northwest,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'moderate', 'heading': 'northwest', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_periodic_surface,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Explanation: Henry is currently in a loitering state while en route to point 6 in the northwest. It is at a very deep depth and not at the water's surface, indicating that it has not received a GPS update and is not able to transmit its coordinates. Additionally, the vessel is moving at a moderate speed with a northwest heading."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point6,False,very deep,False,True,none,northwest,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point6', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northwest', 'speed': 'moderate', 'heading': 'northeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_periodic_surface,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently en route to point 6 in the northwest while in a loitering state. However, it has not received a GPS update and remains at a very deep depth. Additionally, the vessel is not at the surface and is periodically ascending. The vehicle is currently moving at a moderate speed in a northeast direction."
"Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point",True,False,none,none,point7,False,very deep,False,True,none,northeast,moderate,northeast,henry,"maxdepth,loiter,bhv_periodic_surface,bhv_const_depth",none,none,none,none,"{'objectives': 'Loiter between points 0 to 7 until a survey objective is provided, then perform the survey and finally return back to starting point', 'deploy': 'True', 'return': 'False', 'next_waypoint': 'none', 'feedback_msg': 'none', 'next_loiter_point': 'point7', 'gps_update_received': 'False', 'depth': 'very deep', 'vehicle_at_surface': 'False', 'periodic_ascend': 'True', 'waypoint_direction': 'none', 'loiter_point_direction': 'northeast', 'speed': 'moderate', 'heading': 'northeast', 'name': 'henry', 'active_behaviour': 'maxdepth,loiter,bhv_periodic_surface,bhv_const_depth', 'what_if': 'none', 'predicted_behaviour': 'none', 'why_not': 'none', 'feature_justification': 'none'}",Generate a causal explanation from the representation that indicates how the active behaviour of henry is influenced by the rest of the vehicle states.,"Henry is currently en route to point 7 in the northeast while in a loitering state. It is maintaining a moderate speed and heading in the northeast direction. Additionally, Henry is periodically ascending to the water's surface and at a very deep depth, indicating it is performing a behavior to maintain a constant depth."
